name,smiles,Density,Vint,Veff,pc
MNPYDO29,CC1=C[N+](=O)C=CC1=[N+]([O-])[O-],1.8048,116.322,141.7305189,0.820726551
WAFHAO,O=C1NC(=O)C(=O)NC1=O,1.9422,99.146,121.4126345,0.816603646
ALOXAN,O=C1NC(=O)C(=O)C(=O)N1,1.9309,99.525,122.1231647,0.814955952
JOYXIG,NC(=O)c1nnc(C(N)=O)nn1,1.8058,122.817,154.5279187,0.794788418
TATNBZ,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.9363,175.858,221.2945952,0.794678242
TEDYOT,O=[N+]([O-])/N=c1\[nH]nc(-c2n[nH]/c(=N\[N+](=O)[O-])o2)o1,1.9888,170.302,215.4318972,0.790514321
GEMZAZ,O=C1N[C@H]2[C@H](NC(=O)N2[N+](=O)[O-])N1[N+](=O)[O-],1.9924,152.416,193.3804137,0.788166687
ASUDEA,N#Cc1nn2nnc([N+](=O)[O-])c2nc1N,1.8544,145.224,184.4982401,0.78712946
CUGCOW,O=[N+]([O-])C12C3C4([N+](=O)[O-])C1([N+](=O)[O-])C1([N+](=O)[O-])C2([N+](=O)[O-])C3([N+](=O)[O-])C41[N+](=O)[O-],2.0235,270.592,343.8210527,0.787014052
OLUVOJ,O=c1[nH]nc(O)c2cc3c(=O)[nH]nc(O)c3cc12,1.8272,175.778,223.6056288,0.786107223
ENAJUB,O=[n+]1nc2[n-]onc-2[nH]1,1.9336,85.747,109.0803828,0.786090018
SEDTUQ03,NC(N)=C([N+](=O)[O-])[N+](=O)[O-],1.8925,102.091,129.8850286,0.786010529
QOYJOD06,O=c1[nH]nc([N+](=O)[O-])[nH]1,1.9145,88.598,112.7704742,0.785648909
IHUFUP04,Nn1c(-c2nc([N+](=O)[O-])c([N+](=O)[O-])n2N)nc([N+](=O)[O-])c1[N+](=O)[O-],1.9493,230.166,293.070264,0.785361152
VIPKIO01,NNC(=O)C(=O)NN,1.7578,87.363,111.5213873,0.783374401
TIBMIA01,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)[n+]1[O-],1.8869,148.067,189.2401668,0.782429029
PUBMUU20,O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],2.0622,275.939,352.7207276,0.782315805
UFUXOI,Nc1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-],1.8991,118.249,151.2898357,0.781605713
JUNBEB,Nc1c([N+](=O)[O-])nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn12,1.9452,180.019,230.5049132,0.780976845
EREFEP,Oc1nnc2nncn2n1,1.8421,97.105,124.4291688,0.780403831
NACXEU,O=[N+]([O-])C12C3C4([N+](=O)[O-])C1C1([N+](=O)[O-])C2C3([N+](=O)[O-])C41[N+](=O)[O-],1.9583,217.697,278.9753655,0.780344887
HIHZUT,O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O,1.8542,175.824,225.699993,0.779016418
GOKNOK,O=C1N=C2NC(=O)N=C3NC(=O)N=C(N1)N32,1.8878,151.036,194.4284252,0.776820569
BICWEP,NC(=O)c1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.8864,195.551,251.7923452,0.776636001
JEHLAJ,O=C1N([N+](=O)[O-])[C@H]2[C@H](N([N+](=O)[O-])CCN2[N+](=O)[O-])N1[N+](=O)[O-],1.9691,210.739,271.5738154,0.775991602
BINSAS,Nc1c([N+](=O)[O-])c2[n-]o[n+](=O)c2c2[n-]o[n+](=O)c12,1.9314,169.323,218.3899493,0.775324142
GOHVUU,O=c1[nH]c(=O)n2c(=O)[nH]c(=O)n12,1.9188,113.99,147.1308256,0.77475267
KAHHUY,Nc1[nH]nc([N+](=O)[O-])c1[N+](=O)[O-],1.8707,118.575,153.5866398,0.772039809
HXOXAM10,NC(=O)C(=O)NO,1.7679,75.432,97.70872335,0.772008859
BAKLII,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(O)c1[N+](=O)[O-],1.8895,175.58,227.6405298,0.771303775
KENFUH,O=[N+]([O-])c1nc(-c2nc([N+](=O)[O-])nn2C([N+](=O)[O-])[N+](=O)[O-])n(C([N+](=O)[O-])[N+](=O)[O-])n1,1.9535,284.489,368.9205566,0.771138921
TENZUJ,O=[N+]([O-])Nc1n[nH]nc1[N+](=O)[O-],1.9177,115.961,150.6842767,0.769562708
NAYNUX01,O=[N+]([O-])N1[C@H]2O[C@H]3[C@H]4O[C@@H]1[C@H](N4[N+](=O)[O-])N([N+](=O)[O-])[C@@H]2N3[N+](=O)[O-],2.0142,222.009,288.573307,0.769333111
KOBXOO,Nc1[nH][nH]c(=O)c1[N+](=O)[O-],1.8322,100.426,130.5389485,0.769318285
URICAC,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,1.8508,115.933,150.7606772,0.768986994
BOQWUZ,O=C1O[C@H]2[C@@H](O1)N([N+](=O)[O-])CN2[N+](=O)[O-],1.9526,143.824,187.1070789,0.768672147
WEKGUP,O=[N+]([O-])C1=CC(=[N+]([O-])[O-])[N+](=O)C([N+](=O)[O-])=C1,1.8746,156.424,203.7369539,0.767774314
XERBEB,O=c1nc[nH]c(=O)[nH]1,1.7787,81.013,105.5181915,0.767763348
ALXANM01,O=C1NC(=O)C(O)(O)C(=O)N1,1.8671,109.122,142.3147997,0.766764948
OTAKEB,n1onc2c1Nc1nonc1-c1nonc1-2,1.8697,148.928,194.5204005,0.765616355
OROMIT,O=c1c2nc[nH]c2nc2n1C(O)C(O)N2,1.8091,146.888,191.8946155,0.765461812
OLOBIA,N/C(=N\[N+](=O)[O-])N[N+](=O)[O-],1.8834,100.571,131.3901067,0.765438148
JOWWIB,Nc1nc([N+](=O)[O-])n[nH]1,1.8178,90.206,117.8705119,0.765297431
DOLBIR44,[NH3+]CC(=O)[O-],1.6288,58.437,76.49692188,0.76391309
TUPWEI,O=c1cc(C(O)O)[nH]c(=O)[nH]1,1.7619,113.705,148.9467028,0.763393871
MUGNUX01,O=[N+]([O-])N1[C@H]2O[C@@H]3O[C@H]2N([N+](=O)[O-])[C@H]2O[C@@H]3O[C@H]21,1.9868,167.169,218.9994091,0.763330827
SOBFOE,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])N([N+](=O)[O-])[C@H]1NC(=O)N([N+](=O)[O-])[C@H]1N2[N+](=O)[O-],1.9704,243.174,318.5908264,0.763279981
BOSVIO,O=c1[nH]c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2c2c([N+](=O)[O-])cc([N+](=O)[O-])cc12,1.8126,261.973,343.5614541,0.762521514
VUXJIH,[NH3+]C(C(=O)[O-])C([NH3+])C(=O)[O-],1.7117,109.358,143.628664,0.761393979
GIMREA,O=Cc1c[nH]c(=O)[nH]c1=O,1.7202,102.811,135.1708243,0.760600525
NBARBA,O=c1[nH]c(O)c([N+](=O)[O-])c(=O)[nH]1,1.8673,116.995,153.8563021,0.76041734
JERVUY,O=c1[nH]cc([N+](=O)[O-])cc1[N+](=O)[O-],1.8018,129.574,170.5089759,0.759924803
TIBMUM,Nc1nc(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.8181,148.423,195.5025655,0.759186968
TRURET10,NC(=O)NC(=O)NC(N)=O,1.7482,105.292,138.725918,0.758992995
GICTIV,O=[N+]([O-])n1cnc(/N=N/c2ncn([N+](=O)[O-])n2)n1,1.8294,174.877,230.5868899,0.758399578
AZURAC01,O=c1cn[nH]c(=O)[nH]1,1.7461,81.479,107.4882351,0.758027146
FUJXEO,NNC(N)=C([N+](=O)[O-])[N+](=O)[O-],1.8194,112.737,148.8042847,0.757619313
APITEA,Nn1nn[nH]c1=O,1.7943,70.825,93.50535662,0.757443237
CUVXOG,O=[N+]([O-])C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.9073,255.194,336.9342406,0.757400018
CURTER,N#[N+][N-]CN1C2C3N([N+](=O)[O-])C(C4N([N+](=O)[O-])C1C(N4[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],1.9254,292.65,386.4338692,0.757309396
TENZOD,Nn1nc([N+](=O)[O-])c([N+](=O)[O-])n1,1.8672,117.14,154.7596602,0.756915593
MAJTIB,O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,1.7149,140.696,185.9371434,0.756685821
DACYEL,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(C(=O)O)c1[N+](=O)[O-],1.8621,193.676,255.9557147,0.756677772
NIOBPH,O=[N+]([O-])c1cc(-c2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1O,1.79,256.715,339.5494616,0.756045964
