MolName,Density,SMILES
AAXTHP,1.3262,CC(=O)OCC1OC(OC(C)=O)C(N(C(C)=O)C(C)=O)=CC1OC(C)=O
ABABAI,1.2754,Cc1ccc(-c2nc3ccc4ccccc4c3cc2CCO)cc1
ABABIP,1.3337,O=c1[nH]c2ccccc2c2c1CCc1ccccc1-2
ABABIR,1.269,O=C(CC1CCCC2CC(O)(c3ccccc3)CC(=O)N12)c1ccccc1
ABABOV,1.4036,Cn1c2ccccc2c2c(=O)[nH]c3ccccc3c21
ABACAI,1.3025,O=c1[nH]c2c(c3c1CCc1ccccc1-3)CCC2
ABACEM,1.3057,c1ccc2c(c1)COc1nc3c(cc1-2)CCC3
ABACIQ,1.4232,O=c1[nH]c2c(c3oc4ccccc4c13)CCC2
ABACOW,1.3392,Cn1c2c(c3c(c1=O)c1ccccc1n3C)CCC2
ABADEN,1.3304,COc1c2c(nc3c1-c1ccccc1CO3)CCC2
ABADIS,1.357,O=C(O)c1ccc(Cn2cnc3ccccc32)cc1
ABAFAL,1.2478,CC(=O)OCC1C(=O)N(c2ccccc2)C1c1ccccc1
ABAFAM,1.1789,COc1ccc(C(c2ccc(OC)cc2)N2CCN(C(=O)/C=C/c3ccc(C)cc3)CC2)cc1
ABAFAO,1.3048,COc1ccccc1C(C[N+](=O)[O-])C1(C2(C(C[N+](=O)[O-])c3ccccc3OC)C(=O)N(c3ccccc3)N=C2C)C(=O)N(c2ccccc2)N=C1C
ABAFIW,1.2478,Cc1c(C(=O)OCc2ccccc2)c2c(n1-c1ccccc1)N(c1ccccc1)C(c1ccccc1)CC2=O
ABAGIV,1.2945,C/C(=N\Nc1ccccc1C)c1cccc([N+](=O)[O-])c1
ABAHUI,1.2838,CCOC(=O)/C(=N/Nc1cccc(OC)c1)C(C)=O
ABAKEV02,1.3241,O=Cc1ccc2ccccc2n1
ABAKUK,1.1348,CCC1OC(=O)C(NC(=O)OC(C)(C)C)C1C
ABALAT,1.0969,COC(C(=O)NC(C)c1ccccc1)C(C)C
ABALIA01,1.3801,COc1ccc(/C=N/NC(=O)c2ccc(O)cc2)cc1O
ABAMEX,1.2876,CC1=NN(c2ccccc2)C(=O)/C1=C(\Nc1ccccc1N)c1ccccc1
ABAPIE,1.2716,CCc1ccc(/C=C(\COc2ccccc2/C=N/O)C(=O)OC)cc1
ABAVAE,1.256,CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1C21c2ccccc2C(=O)N1/N=C/c1ccccc1O
ABBUMO10,1.2234,Oc1ccc2c(c1)C13CCCCC1C(C2)N1CCCCC1C3
ABEBEP,1.3574,CC1(C)NC(=O)c2ccccc2NC1=O
ABEBUE,1.2239,O=C1C(Cc2ccccc2)c2ccccc2CN1C(CO)c1ccccc1
ABEFAO,1.2323,C/C(N)=C/C(=O)CC(O)c1ccc(C)cc1
ABEGOE,1.4303,CCOC(=O)Cn1c(=O)c2c(ncn2C)n(C)c1=O
