name,smiles,Density,Vint,Veff,pc
NACXEU01,O=[N+]([O-])[C@]12[C@@H]3[C@]4([N+](=O)[O-])[C@H]1[C@]1([N+](=O)[O-])[C@H]2[C@@]3([N+](=O)[O-])[C@]41[N+](=O)[O-],1.9592,222.365,463.0536807,0.79744387
TATNBZ,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.9363,175.858,221.2945952,0.794678242
SOBGAR,O=C1N[C@@H]2[C@H](N1[N+](=O)[O-])N([N+](=O)[O-])[C@H]1[C@H](NC(=O)N1[N+](=O)[O-])N2[N+](=O)[O-],1.9454,222.501,466.3384246,0.792311208
TEDYOT,O=[N+]([O-])/N=c1\[nH]nc(-c2n[nH]/c(=N\[N+](=O)[O-])o2)o1,1.9888,170.302,215.4318972,0.790514321
GEMZAZ,O=C1N[C@H]2[C@H](NC(=O)N2[N+](=O)[O-])N1[N+](=O)[O-],1.9924,152.416,193.3804137,0.788166687
ASUDEA,N#Cc1nn2nnc([N+](=O)[O-])c2nc1N,1.8544,145.224,184.4982401,0.78712946
CUGCOW,O=[N+]([O-])C12C3C4([N+](=O)[O-])C1([N+](=O)[O-])C1([N+](=O)[O-])C2([N+](=O)[O-])C3([N+](=O)[O-])C41[N+](=O)[O-],2.0235,270.592,343.8210527,0.787014052
VEGGUJ,O=C1N([N+](=O)[O-])CN([N+](=O)[O-])CN1[N+](=O)[O-],1.9311,222.451,469.79171,0.786310449
SEDTUQ03,NC(N)=C([N+](=O)[O-])[N+](=O)[O-],1.8925,102.091,129.8850286,0.786010529
QOYJOD06,O=c1[nH]nc([N+](=O)[O-])[nH]1,1.9145,88.598,112.7704742,0.785648909
IHUFUP04,Nn1c(-c2nc([N+](=O)[O-])c([N+](=O)[O-])n2N)nc([N+](=O)[O-])c1[N+](=O)[O-],1.9493,230.166,293.070264,0.785361152
TIBMIA01,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)[n+]1[O-],1.8869,148.067,189.2401668,0.782429029
PUBMUU20,O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],2.0622,275.939,352.7207276,0.782315805
UFUXOI,Nc1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-],1.8991,118.249,151.2898357,0.781605713
OCHTET18,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1.9194,222.366,472.6553981,0.781247778
JUNBEB,Nc1c([N+](=O)[O-])nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn12,1.9452,180.019,230.5049132,0.780976845
NACXEU,O=[N+]([O-])C12C3C4([N+](=O)[O-])C1C1([N+](=O)[O-])C2C3([N+](=O)[O-])C41[N+](=O)[O-],1.9583,217.697,278.9753655,0.780344887
HIHZUT,O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O,1.8542,175.824,225.699993,0.779016418
BICWEP,NC(=O)c1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.8864,195.551,251.7923452,0.776636001
JEHLAJ,O=C1N([N+](=O)[O-])[C@H]2[C@H](N([N+](=O)[O-])CCN2[N+](=O)[O-])N1[N+](=O)[O-],1.9691,210.739,271.5738154,0.775991602
BINSAS,Nc1c([N+](=O)[O-])c2[n-]o[n+](=O)c2c2[n-]o[n+](=O)c12,1.9314,169.323,218.3899493,0.775324142
KAHHUY,Nc1[nH]nc([N+](=O)[O-])c1[N+](=O)[O-],1.8707,118.575,153.5866398,0.772039809
BAKLII,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(O)c1[N+](=O)[O-],1.8895,175.58,227.6405298,0.771303775
