name,smiles,Density,Vint,Veff,pc
TIDCIS,O=C1c2c(O)cccc2C(=O)c2c([N+](=O)[O-])ccc(O)c21,1.6677,208.519,283.8138728,0.734703339
NBARBA,O=c1[nH]c(O)c([N+](=O)[O-])c(=O)[nH]1,1.8673,116.995,153.8563021,0.76041734
KOBXOO,Nc1[nH][nH]c(=O)c1[N+](=O)[O-],1.8322,100.426,130.5389485,0.769318285
BOLPEX,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,1.7361,234.794,315.6607434,0.743817548
JUPSES,COc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.7092,180.81,250.6869125,0.721258235
OGOYAN,NC(N)=C(c1ncn[nH]1)[N+](=O)[O-],1.7105,122.167,165.0942438,0.739983401
WUBJAG,O=[N+]([O-])O[C@H]1[C@@H]2C[C@H]3[C@@H](O[N+](=O)[O-])[C@H](C[C@@H]1C3([N+](=O)[O-])[N+](=O)[O-])C2([N+](=O)[O-])[N+](=O)[O-],1.852,289.509,392.7565571,0.73712073
JEXMII,O=[N+]([O-])N1CCN([N+](=O)[O-])[C@H]2[C@H]1N([N+](=O)[O-])CCN2[N+](=O)[O-],1.8217,217.182,293.5809528,0.739768701
BOQWUZ,O=C1O[C@H]2[C@@H](O1)N([N+](=O)[O-])CN2[N+](=O)[O-],1.9526,143.824,187.1070789,0.768672147
KUBPOM,O=[N+]([O-])C(=C1NCCCN1[N+](=O)[O-])[N+](=O)[O-],1.7922,160.317,215.9276948,0.742456868
QOYJOD06,O=c1[nH]nc([N+](=O)[O-])[nH]1,1.9145,88.598,112.7704742,0.785648909
WACQEY,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1O,1.6459,171.256,236.1178388,0.725298863
UZONOP,Cn1nc([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],1.7659,220.046,301.8875868,0.728900457
FUJXEO,NNC(N)=C([N+](=O)[O-])[N+](=O)[O-],1.8194,112.737,148.8042847,0.757619313
JAPKIU,NNc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7751,222.501,511.0781203,0.722952414
KENFUH,O=[N+]([O-])c1nc(-c2nc([N+](=O)[O-])nn2C([N+](=O)[O-])[N+](=O)[O-])n(C([N+](=O)[O-])[N+](=O)[O-])n1,1.9535,284.489,368.9205566,0.771138921
HOCVEA,O=C1C(=O)c2cccc([N+](=O)[O-])c2-c2ccc([N+](=O)[O-])cc21,1.6817,219.697,294.2833479,0.746549207
VOGSUI,O=[N+]([O-])/N=c1\[nH]nc2nncnn12,1.8128,124.63,166.7470965,0.747419311
WERYEX,O=[N+]([O-])N=C1N[C@H]2NC(=N[N+](=O)[O-])N[C@H]2N1,1.8384,155.627,207.8019059,0.748919984
CATJIQ01,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])CN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,1.8697,253.769,341.0781698,0.744020059
DNTNAP10,O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,1.5888,164.108,227.8859491,0.720132157
TENZOD,Nn1nc([N+](=O)[O-])c([N+](=O)[O-])n1,1.8672,117.14,154.7596602,0.756915593
