name,smiles,Density,Vint,Veff,pc
CATJIQ01,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])CN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,1.8697,253.769,341.0781698,0.744020059
FUJTUZ,O=[N+]([O-])c1cc([N+](=O)[O-])on1,1.7193,107.341,153.5633597,0.699001378
KUBPEC,O=[N+]([O-])N1CC2(CN=C1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CN=C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N([N+](=O)[O-])C2,1.8058,352.755,496.5965742,0.710345214
IKIMIY,CN(c1nc(N(C)[N+](=O)[O-])c([N+](=O)[O-])nc1[N+](=O)[O-])[N+](=O)[O-],1.7223,222.451,526.7460788,0.701290708
NUBQOT,O=[N+]([O-])c1cc([N+](=O)[O-])n(-c2nonc2[N+](=O)[O-])n1,1.8156,181.153,247.8586767,0.730872134
UFUXOI,Nc1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-],1.8991,118.249,151.2898357,0.781605713
AJIYOK,Nc1nc(Cn2nc([N+](=O)[O-])c([N+](=O)[O-])c2[N+](=O)[O-])no1,1.7494,203.184,284.7911861,0.713449046
VOGSUI,O=[N+]([O-])/N=c1\[nH]nc2nncnn12,1.8128,124.63,166.7470965,0.747419311
YOPREA,O=c1[nH]c2c([N+](=O)[O-])cccc2c(=O)o1,1.707,147.483,202.3577988,0.728822911
CUMLEE,Nc1nonc1Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7614,214.967,293.2259512,0.733110419
KENFUH,O=[N+]([O-])c1nc(-c2nc([N+](=O)[O-])nn2C([N+](=O)[O-])[N+](=O)[O-])n(C([N+](=O)[O-])[N+](=O)[O-])n1,1.9535,284.489,368.9205566,0.771138921
OXONOG,O=[N+]([O-])Nc1nonc1[N+](=O)[N-]c1nonc1/N=N/c1nonc1[N-][N+](=O)c1nonc1N[N+](=O)[O-],1.8795,222.499,482.6894234,0.765464958
POTGUC,O=[N+]([O-])C1([N+](=O)[O-])[C@H]2C[C@H]3C[C@@H]1C([N+](=O)[O-])([N+](=O)[O-])[C@@H](C2)C3([N+](=O)[O-])[N+](=O)[O-],1.777,269.869,379.4388481,0.711231866
YOYSUC02,O=[N+]([O-])OCC(O[N+](=O)[O-])C(CO[N+](=O)[O-])O[N+](=O)[O-],1.758,200.481,285.266352,0.702785304
KOFKIZ,O=NN1CN([N+](=O)[O-])CCN([N+](=O)[O-])C1,1.7077,153.289,213.9862729,0.716349689
UVILAO,Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2N,1.8342,154.833,206.4528597,0.749967814
GIMBOT,O=[N+]([O-])c1cc([N+](=O)[O-])c(/C=C/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.7442,314.656,428.4355328,0.734430214
JUVNAP,O=[N+]([O-])C1([N+](=O)[O-])CCC([N+](=O)[O-])([N+](=O)[O-])CC1,1.7216,182.454,254.6789117,0.716407961
