name,smiles,Density,Vint,Veff,pc
NMALAM,NC(=O)/C(=C(/N)O)[N+](=O)[O-],1.779,103.199,137.2426679,0.751945452
DACYEL,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(C(=O)O)c1[N+](=O)[O-],1.8621,193.676,255.9557147,0.756677772
RAQRIL,O=[N+]([O-])c1cc2c([n-]o[n+]2=O)c2c1[n-]o[n+]2=O,1.839,159.709,215.8081832,0.740050714
BUGKOE,O=[N+]([O-])Nn1cc([N+](=O)[O-])nc1[N+](=O)[O-],1.8035,145.436,200.7301069,0.72453506
DAJXUH,O=C(O)c1cc([N+](=O)[O-])ccc1[N+](=O)[O-],1.7222,151.278,204.4238287,0.740021362
BICWEP,NC(=O)c1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.8864,195.551,251.7923452,0.776636001
COWYET,O=C(O)c1cc(O)c([N+](=O)[O-])c(O)c1,1.7303,141.145,190.9950917,0.738998048
IMIVOP,N/C(=N\[N+](=O)[O-])n1nc(N)nc1N,1.7125,129.926,180.4224895,0.720120869
DIQRON,O=[N+]([O-])OC[C@H](O[N+](=O)[O-])[C@@H](O[N+](=O)[O-])[C@H](O[N+](=O)[O-])[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],1.868,295.89,401.8060899,0.736399988
WOBLUU,O=[N+]([O-])Cn1cnc([N+](=O)[O-])n1,1.7574,120.127,163.4884073,0.73477381
TATNBZ,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.9363,175.858,221.2945952,0.794678242
ELIGEN01,O=[N+]([O-])OCn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2CO[N+](=O)[O-],1.8264,228.592,316.4132538,0.722447613
MTNANL,CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],1.7307,198.943,275.3886499,0.722408131
VUKCOW,O=C(O)c1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-],1.8169,136.38,184.6204736,0.738704637
KAHHIM02,O=[N+]([O-])c1n[nH]c([N+](=O)[O-])c1[N+](=O)[O-],1.8756,134.651,179.7236345,0.749211423
PIGSIJ,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2cnc([N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,1.8011,248.466,340.2096873,0.730331937
NUSTUT,Nc1nc(-n2nc([N+](=O)[O-])cc2[N+](=O)[O-])n[nH]1,1.7696,164.665,225.250359,0.731031021
TIBMUM,Nc1nc(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.8181,148.423,195.5025655,0.759186968
PIGSEF,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(-n2cc([N+](=O)[O-])nc2[N+](=O)[O-])c1[N+](=O)[O-],1.8413,266.626,359.8576361,0.740920779
IZAXAL,N/C(=N\[N+](=O)[O-])NNC=O,1.7334,104.548,140.8638285,0.742191953
NUMXAV,CNC(N)=C([N+](=O)[O-])[N+](=O)[O-],1.7496,115.961,153.7961849,0.753991395
UZEVUS,O=[N+]([O-])C(=C1N[C@H]2OCCO[C@H]2N1)[N+](=O)[O-],1.7937,158.812,214.8257256,0.739259693
CURTAN,N#[N+][N-]CN1C2C3N(C[N-][N+]#N)C4C1N([N+](=O)[O-])C(C(N2[N+](=O)[O-])N3[N+](=O)[O-])N4[N+](=O)[O-],1.8533,306.999,410.4564071,0.747945445
JIPSAF,O=[N+]([O-])c1nonc1Nc1nnc2nncn2n1,1.7935,170.883,231.5035969,0.738144039
TNIOAN,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7725,158.814,213.618351,0.743447364
HIHZUT,O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O,1.8542,175.824,225.699993,0.779016418
FEFXUM,Nc1nonc1-c1nonc1-c1nonc1[N+](=O)[O-],1.7665,182.791,250.0674793,0.7309667
